RegionID,RegionName,State,date,home_value,treated,rent,post,did,pop_total,median_income,housing_total,housing_owned,median_rent_census,labor_force,mortgage_rate,ownership_rate,home_value_idx,rent_idx
2949,Lackawanna County,PA,2024-08-01,199920.54404934435,0,1254.5155785262489,1,0,215834.0,64691.0,88266.0,57698.0,973.0,106323.0,6.5,0.6536831849183151,120.04421579311936,115.53868228991534
2949,Lackawanna County,PA,2024-09-01,200812.19466556943,0,1256.385251511652,1,0,215834.0,64691.0,88266.0,57698.0,973.0,106323.0,6.18,0.6536831849183151,120.57961599170912,115.7108758893765
2949,Lackawanna County,PA,2024-10-01,201975.5429546143,0,1264.034447607739,1,0,215834.0,64691.0,88266.0,57698.0,973.0,106323.0,6.428,0.6536831849183151,121.27815967423426,116.4153534205023
2949,Lackawanna County,PA,2024-11-01,203665.45772713085,0,1274.2433325413804,1,0,215834.0,64691.0,88266.0,57698.0,973.0,106323.0,6.805,0.6536831849183151,122.29288527228927,117.35557379964496
2949,Lackawanna County,PA,2024-12-01,204900.74342405773,0,1273.4133419673774,1,0,215834.0,64691.0,88266.0,57698.0,973.0,106323.0,6.715,0.6536831849183151,123.03462446409262,117.2791331249536
2949,Lackawanna County,PA,2025-01-01,205926.3440704902,0,1272.3046509493852,1,0,215834.0,64691.0,88266.0,57698.0,973.0,106323.0,6.958,0.6536831849183151,123.65045624818137,117.17702462867175
2949,Lackawanna County,PA,2025-02-01,206625.86709841585,0,1266.9612980530587,1,0,215834.0,64691.0,88266.0,57698.0,973.0,106323.0,6.842499999999999,0.6536831849183151,124.0704915862997,116.68491120798643
2949,Lackawanna County,PA,2025-03-01,209516.21020050105,0,1274.9180478623275,1,0,215834.0,64691.0,88266.0,57698.0,973.0,106323.0,6.65,0.6536831849183151,125.8060259342716,117.41771389613912
2949,Lackawanna County,PA,2025-04-01,212306.31870849963,0,1279.6136860429117,1,0,215834.0,64691.0,88266.0,57698.0,973.0,106323.0,6.725,0.6536831849183151,127.4813734550233,117.85017392866598
2949,Lackawanna County,PA,2025-05-01,212919.3712892842,0,1290.522563075153,1,0,215834.0,64691.0,88266.0,57698.0,973.0,106323.0,6.816,0.6536831849183151,127.84948678049557,118.85486235114736
2949,Lackawanna County,PA,2025-06-01,212539.2098840308,0,1291.0716261649543,1,0,215834.0,64691.0,88266.0,57698.0,973.0,106323.0,6.8175,0.6536831849183151,127.62121520397771,118.90543009775456
2949,Lackawanna County,PA,2025-07-01,212811.8917336208,0,1289.4458987990815,1,0,215834.0,64691.0,88266.0,57698.0,973.0,106323.0,6.720000000000001,0.6536831849183151,127.78494964633181,118.75570346156861
2949,Lackawanna County,PA,2025-08-01,214103.28742290672,0,1291.2684848612814,1,0,215834.0,64691.0,88266.0,57698.0,973.0,106323.0,6.5875,0.6536831849183151,128.56038062335375,118.923560438071
2949,Lackawanna County,PA,2025-09-01,215032.39168996844,0,1296.4217935313477,1,0,215834.0,64691.0,88266.0,57698.0,973.0,106323.0,6.3525,0.6536831849183151,129.1182702272453,119.39817111916919
2949,Lackawanna County,PA,2025-10-01,214952.19893447863,0,1298.104176072573,1,0,215834.0,64691.0,88266.0,57698.0,973.0,106323.0,6.254,0.6536831849183151,129.07011771500177,119.55311559753834
2949,Lackawanna County,PA,2025-11-01,215258.24482177672,0,1299.8764828877872,1,0,215834.0,64691.0,88266.0,57698.0,973.0,106323.0,6.2375,0.6536831849183151,129.253885915074,119.7163419436662
